model,recall_churn,precision_churn,f1_churn,roc_auc
logistic_regression,0.6417112299465241,0.5491990846681922,0.591861898890259,0.8085328993257382
decision_tree,0.7941176470588235,0.48450244698205547,0.601823708206687,0.8242953835025446
random_forest,0.8128342245989305,0.49032258064516127,0.6116700201207244,0.8269510966441914
